timestamp,sender,chat_id,status,message_preview,error
2026-01-07 08:20:05,BOT,-5195270518,SUCCESS,Teste,
2026-01-07 08:20:57,BOT,-1003301530947,FAILED,Teste,Could not find the input entity for PeerChannel(channel_id=3301530947) (PeerChannel). Please read https://docs.telethon.dev/en/stable/concepts/entities.html to find out more details.
2026-01-08 08:26:52,BOT,-5195270518,FAILED,🛍️ **SSD 240GB Kingston A400 SA400S37/240g Preto**  🔗 https://mercadolivre.com/sec/1H3r5Gw  ✅ Recome...,Cannot get entity by phone number as a bot (try using integer IDs, not strings)
2026-01-08 08:29:00,BOT,-5195270518,FAILED,🛍️ **SSD 240GB Kingston A400 SA400S37/240g Preto**  🔗 https://mercadolivre.com/sec/1H3r5Gw  ✅ Recome...,Cannot get entity by phone number as a bot (try using integer IDs, not strings)
2026-01-08 08:31:08,BOT,-5195270518,FAILED,🛍️ **SSD 240GB Kingston A400 SA400S37/240g Preto**  🔗 https://mercadolivre.com/sec/1H3r5Gw  ✅ Recome...,Cannot get entity by phone number as a bot (try using integer IDs, not strings)
2026-01-08 08:33:17,BOT,-5195270518,FAILED,🛍️ **SSD 240GB Kingston A400 SA400S37/240g Preto**  🔗 https://mercadolivre.com/sec/1H3r5Gw  ✅ Recome...,Cannot get entity by phone number as a bot (try using integer IDs, not strings)
2026-01-08 08:35:25,BOT,-5195270518,FAILED,🛍️ **SSD 240GB Kingston A400 SA400S37/240g Preto**  🔗 https://mercadolivre.com/sec/1H3r5Gw  ✅ Recome...,Cannot get entity by phone number as a bot (try using integer IDs, not strings)
2026-01-08 08:37:33,BOT,-5195270518,FAILED,🛍️ **SSD 240GB Kingston A400 SA400S37/240g Preto**  🔗 https://mercadolivre.com/sec/1H3r5Gw  ✅ Recome...,Cannot get entity by phone number as a bot (try using integer IDs, not strings)
2026-01-08 08:39:45,BOT,-5195270518,FAILED,🛍️ **SSD 240GB Kingston A400 SA400S37/240g Preto**  🔗 https://mercadolivre.com/sec/1H3r5Gw  ✅ Recome...,Cannot get entity by phone number as a bot (try using integer IDs, not strings)
2026-01-08 08:41:53,BOT,-5195270518,FAILED,🛍️ **SSD 240GB Kingston A400 SA400S37/240g Preto**  🔗 https://mercadolivre.com/sec/1H3r5Gw  ✅ Recome...,Cannot get entity by phone number as a bot (try using integer IDs, not strings)
2026-01-08 08:44:01,BOT,-5195270518,FAILED,🛍️ **SSD 240GB Kingston A400 SA400S37/240g Preto**  🔗 https://mercadolivre.com/sec/1H3r5Gw  ✅ Recome...,Cannot get entity by phone number as a bot (try using integer IDs, not strings)
2026-01-08 08:46:09,BOT,-5195270518,FAILED,🛍️ **SSD 240GB Kingston A400 SA400S37/240g Preto**  🔗 https://mercadolivre.com/sec/1H3r5Gw  ✅ Recome...,Cannot get entity by phone number as a bot (try using integer IDs, not strings)
2026-01-08 08:48:17,BOT,-5195270518,FAILED,🛍️ **SSD 240GB Kingston A400 SA400S37/240g Preto**  🔗 https://mercadolivre.com/sec/1H3r5Gw  ✅ Recome...,Cannot get entity by phone number as a bot (try using integer IDs, not strings)
2026-01-08 08:50:25,BOT,-5195270518,FAILED,🛍️ **SSD 240GB Kingston A400 SA400S37/240g Preto**  🔗 https://mercadolivre.com/sec/1H3r5Gw  ✅ Recome...,Cannot get entity by phone number as a bot (try using integer IDs, not strings)
2026-01-08 08:52:34,BOT,-5195270518,FAILED,🛍️ **SSD 240GB Kingston A400 SA400S37/240g Preto**  🔗 https://mercadolivre.com/sec/1H3r5Gw  ✅ Recome...,Cannot get entity by phone number as a bot (try using integer IDs, not strings)
2026-01-08 08:54:42,BOT,-5195270518,FAILED,🛍️ **SSD 240GB Kingston A400 SA400S37/240g Preto**  🔗 https://mercadolivre.com/sec/1H3r5Gw  ✅ Recome...,Cannot get entity by phone number as a bot (try using integer IDs, not strings)
2026-01-08 08:56:50,BOT,-5195270518,FAILED,🛍️ **SSD 240GB Kingston A400 SA400S37/240g Preto**  🔗 https://mercadolivre.com/sec/1H3r5Gw  ✅ Recome...,Cannot get entity by phone number as a bot (try using integer IDs, not strings)
2026-01-08 08:58:58,BOT,-5195270518,FAILED,🛍️ **SSD 240GB Kingston A400 SA400S37/240g Preto**  🔗 https://mercadolivre.com/sec/1H3r5Gw  ✅ Recome...,Cannot get entity by phone number as a bot (try using integer IDs, not strings)
2026-01-08 09:01:06,BOT,-5195270518,FAILED,🛍️ **SSD 240GB Kingston A400 SA400S37/240g Preto**  🔗 https://mercadolivre.com/sec/1H3r5Gw  ✅ Recome...,Cannot get entity by phone number as a bot (try using integer IDs, not strings)
2026-01-08 09:03:14,BOT,-5195270518,FAILED,🛍️ **SSD 240GB Kingston A400 SA400S37/240g Preto**  🔗 https://mercadolivre.com/sec/1H3r5Gw  ✅ Recome...,Cannot get entity by phone number as a bot (try using integer IDs, not strings)
2026-01-08 09:04:22,BOT,-5195270518,SUCCESS,🛍️ **SSD 240GB Kingston A400 SA400S37/240g Preto**  🔗 https://mercadolivre.com/sec/1H3r5Gw  ✅ Recome...,
2026-01-08 09:48:30,BOT,-5195270518,SUCCESS,🛍️ **Oferta Especial**  🔗 https://mercadolivre.com/sec/2FiJbVT  ✅ Recomendação do sistema,
2026-01-08 13:11:46,BOT,-1003301530947,SUCCESS,Boa tarde!🤖,
2026-01-08 13:13:25,BOT,-5195270518,SUCCESS,Boa tarde!🤖,
2026-01-08 13:35:07,BOT,-1003301530947,SUCCESS,🛍️ **Oferta Especial**  🔗 https://mercadolivre.com/sec/1oWjaKE  ✅ Recomendação do sistema,
2026-01-08 13:39:16,BOT,-1003301530947,SUCCESS,🛍️ **Oferta Especial**  🔗 https://mercadolivre.com/sec/1439krq  ✅ Recomendação do sistema,
2026-01-08 13:43:24,BOT,-1003301530947,SUCCESS,🛍️ **Oferta Especial**  🔗 https://mercadolivre.com/sec/1ZrTSKH  ✅ Recomendação do sistema,
2026-01-08 16:27:34,BOT,-1003301530947,SUCCESS,🛍️ **Oferta Especial**  🔗 https://mercadolivre.com/sec/1t7F8DG  ✅ Recomendação do sistema,
2026-01-10 13:42:14,BOT,-1003301530947,SUCCESS,🛍️ **Oferta Especial**  🔗 https://mercadolivre.com/sec/2bwEnaj  ✅ Recomendação do sistema,
2026-01-10 13:54:22,BOT,-1003301530947,SUCCESS,🛍️ **Oferta Especial**  🔗 https://mercadolivre.com/sec/1gTuyBT  ✅ Recomendação do sistema,
2026-01-14 11:59:11,BOT,-1003301530947,SUCCESS,🛍️ **Oferta Especial**  🔗 https://mercadolivre.com/sec/1BeFEFy  ✅ Recomendação do sistema,
2026-01-14 11:59:20,BOT,-1003301530947,SUCCESS,🛍️ **Auto Transformador 5000va  Ar Split Até 12000btus Sem Juros**  🔗 https://mercadolivre.com/sec/1...,
2026-01-14 11:59:28,BOT,-1003301530947,SUCCESS,🛍️ **Kit 3 Espuma Expansiva Pu Vedação Selante Isolante Uso Geral**  🔗 https://mercadolivre.com/sec/...,
2026-01-17 22:05:15,BOT,-1003301530947,FAILED,🛍️ **Chave De Impacto 320nm Com 2 Baterias Sem Escova**  🔗 https://mercadolivre.com/sec/1qS7avk  ✅ R...,attempt to write a readonly database
2026-01-17 22:07:23,BOT,-1003301530947,FAILED,🛍️ **Chave De Impacto 320nm Com 2 Baterias Sem Escova**  🔗 https://mercadolivre.com/sec/1qS7avk  ✅ R...,Cannot send requests while disconnected
2026-01-17 22:07:31,BOT,-1003301530947,FAILED,🛍️ **Micro-Ondas Mondial 1200W MO-01-21-B**  🔗 https://mercadolivre.com/sec/2fiTYAs  ✅ Recomendação ...,Cannot send requests while disconnected
2026-01-17 22:07:39,BOT,-1003301530947,FAILED,🛍️ **Lavadora de Alta Pressão Lava Jato UWS2250 Lava Car Electrolux 2250PSI com 1800W Potencia Ultra...,Cannot send requests while disconnected
2026-01-17 22:09:47,BOT,-1003301530947,FAILED,🛍️ **Chave De Impacto 320nm Com 2 Baterias Sem Escova**  🔗 https://mercadolivre.com/sec/1qS7avk  ✅ R...,Cannot send requests while disconnected
2026-01-17 22:09:55,BOT,-1003301530947,FAILED,🛍️ **Micro-Ondas Mondial 1200W MO-01-21-B**  🔗 https://mercadolivre.com/sec/2fiTYAs  ✅ Recomendação ...,Cannot send requests while disconnected
2026-01-17 22:10:03,BOT,-1003301530947,FAILED,🛍️ **Lavadora de Alta Pressão Lava Jato UWS2250 Lava Car Electrolux 2250PSI com 1800W Potencia Ultra...,Cannot send requests while disconnected
2026-01-17 22:12:11,BOT,-1003301530947,FAILED,🛍️ **Chave De Impacto 320nm Com 2 Baterias Sem Escova**  🔗 https://mercadolivre.com/sec/1qS7avk  ✅ R...,Cannot send requests while disconnected
2026-01-17 22:12:19,BOT,-1003301530947,FAILED,🛍️ **Micro-Ondas Mondial 1200W MO-01-21-B**  🔗 https://mercadolivre.com/sec/2fiTYAs  ✅ Recomendação ...,Cannot send requests while disconnected
2026-01-17 22:12:27,BOT,-1003301530947,FAILED,🛍️ **Lavadora de Alta Pressão Lava Jato UWS2250 Lava Car Electrolux 2250PSI com 1800W Potencia Ultra...,Cannot send requests while disconnected
2026-01-17 22:14:35,BOT,-1003301530947,FAILED,🛍️ **Chave De Impacto 320nm Com 2 Baterias Sem Escova**  🔗 https://mercadolivre.com/sec/1qS7avk  ✅ R...,Cannot send requests while disconnected
2026-01-17 22:14:43,BOT,-1003301530947,FAILED,🛍️ **Micro-Ondas Mondial 1200W MO-01-21-B**  🔗 https://mercadolivre.com/sec/2fiTYAs  ✅ Recomendação ...,Cannot send requests while disconnected
2026-01-17 22:14:51,BOT,-1003301530947,FAILED,🛍️ **Lavadora de Alta Pressão Lava Jato UWS2250 Lava Car Electrolux 2250PSI com 1800W Potencia Ultra...,Cannot send requests while disconnected
2026-01-17 22:16:59,BOT,-1003301530947,FAILED,🛍️ **Chave De Impacto 320nm Com 2 Baterias Sem Escova**  🔗 https://mercadolivre.com/sec/1qS7avk  ✅ R...,Cannot send requests while disconnected
2026-01-17 22:17:07,BOT,-1003301530947,FAILED,🛍️ **Micro-Ondas Mondial 1200W MO-01-21-B**  🔗 https://mercadolivre.com/sec/2fiTYAs  ✅ Recomendação ...,Cannot send requests while disconnected
2026-01-17 22:17:15,BOT,-1003301530947,FAILED,🛍️ **Lavadora de Alta Pressão Lava Jato UWS2250 Lava Car Electrolux 2250PSI com 1800W Potencia Ultra...,Cannot send requests while disconnected
2026-01-17 22:19:23,BOT,-1003301530947,FAILED,🛍️ **Chave De Impacto 320nm Com 2 Baterias Sem Escova**  🔗 https://mercadolivre.com/sec/1qS7avk  ✅ R...,Cannot send requests while disconnected
2026-01-17 22:19:31,BOT,-1003301530947,FAILED,🛍️ **Micro-Ondas Mondial 1200W MO-01-21-B**  🔗 https://mercadolivre.com/sec/2fiTYAs  ✅ Recomendação ...,Cannot send requests while disconnected
